DrugBankID	drugname
DB00746	Deferoxamine
DB01083	Orlistat
DB01319	Fosamprenavir
DB00669	Sumatriptan
DB00541	Vincristine
DB00367	Levonorgestrel
DB00661	Verapamil
DB00244	Mesalazine
DB00706	Tamsulosin
DB06285	Teriparatide
DB00710	Ibandronate
DB00993	Azathioprine
DB00239	Oxiconazole
DB00442	Entecavir
DB00660	Metaxalone
DB00869	Dorzolamide
DB05271	Rotigotine
DB00970	Dactinomycin
DB00136	Calcitriol
DB00709	Lamivudine
DB00281	Lidocaine
DB01364	Ephedrine
DB06800	Methylnaltrexone
DB05259	Glatiramer Acetate
DB00938	Salmeterol
DB00623	Fluphenazine
DB00539	Toremifene
DB00649	Stavudine
DB04846	Celiprolol
DB01110	Miconazole
DB01104	Sertraline
DB00240	Alclometasone
DB06176	Romidepsin
DB00187	Esmolol
DB01586	Ursodeoxycholic acid
DB06786	Halcinonide
DB00994	Neomycin
DB00700	Eplerenone
DB00920	Ketotifen
DB00181	Baclofen
DB00839	Tolazamide
DB00900	Didanosine
DB01262	Decitabine
DB00570	Vinblastine
DB00362	Anidulafungin
DB01093	Dimethyl sulfoxide
DB00270	Isradipine
DB06616	Bosutinib
DB08860	Pitavastatin
DB01182	Propafenone
DB00493	Cefotaxime
DB00682	Warfarin
DB09357	Dexpanthenol
DB08822	Azilsartan medoxomil
DB01151	Desipramine
DB00408	Loxapine
DB00716	Nedocromil
DB01210	Levobunolol
DB00190	Carbidopa
DB00231	Temazepam
DB01203	Nadolol
DB01016	Glyburide
DB00317	Gefitinib
DB00734	Risperidone
DB06637	Dalfampridine
DB00704	Naltrexone
DB00980	Ramelteon
DB00905	Bimatoprost
DB00331	Metformin
DB08871	Eribulin
DB00196	Fluconazole
DB04899	Nesiritide
DB00973	Ezetimibe
DB00663	Flumethasone
DB00333	Methadone
DB06772	Cabazitaxel
DB00861	Diflunisal
DB00476	Duloxetine
DB09152	Nitrogen
DB00631	Clofarabine
DB01234	Dexamethasone
DB00783	Estradiol
DB01167	Itraconazole
DB06243	Eflornithine
DB00624	Testosterone
